"","userid","gender","country","Platform","B5_reserved","B5_trusting","B5_lazy","B5_handleStress","B5_nonArtistic","B5_outgoing","B5_findsFaults","B5_thorough","B5_nervous","B5_imaginative","attit_genderJokes","attit_cleverInsults","attit_cuteAnimals","attit_GoT","attit_looksJokes","attit_puns","attit_menEgoSex","attit_selfDepr","attit_comebacks","attit_romCom","excite_places","excite_restless","excite_fright","excite_parties","excite_trips","excite_friends","excite_bungee","excite_illegal","humorProd_jokes","humorProd_confid","humorProd_entertain","humorProd_success","moral_feelGood","moral_important","moral_ashamed","moral_notImportant","moral_desire","cheer_cheerful","cheer_fun","cheer_laugh","cheer_walkAir","cheer_amused","cheer_delighted","mood_upset","mood_hostile","mood_alert","mood_ashamed","mood_inspired","mood_nervous","mood_determined","mood_attentive","mood_afraid","mood_active","language_undst","duration","stimulus","funniness_rating"
"33567",5292,"f","GBR","Android",3,5,5,3,3,3,4,5,5,5,3,5,5,1,5,5,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,1,1,1,1,4,5,3,3,1,3,2,1,3,1,1,212,"cont_faceDraw",7
"33568",5292,"f","GBR","Android",3,5,5,3,3,3,4,5,5,5,3,5,5,1,5,5,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,1,1,1,1,4,5,3,3,1,3,2,1,3,1,1,212,"cont_avocado",1
"33569",5292,"f","GBR","Android",3,5,5,3,3,3,4,5,5,5,3,5,5,1,5,5,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,1,1,1,1,4,5,3,3,1,3,2,1,3,1,1,212,"cont_romFail",7
"33570",5292,"f","GBR","Android",3,5,5,3,3,3,4,5,5,5,3,5,5,1,5,5,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,1,1,1,1,4,5,3,3,1,3,2,1,3,1,1,212,"cont_buttCar",7
"33571",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_knock",5
"33572",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_kangeroos",4
"33573",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_iAmCringe",2
"33574",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_sexGolf",6
"33575",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_cuteDog",6
"33576",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_faceDraw",2
"33577",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_avocado",7
"33578",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_romFail",6
"33579",280,"f","GBR","Android",3,4,4,3,1,4,4,3,3,5,3,4,4,5,2,4,3,4,4,3,4,4,3,3,4,3,3,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,3,1,3,1,3,3,1,3,1,127,"cont_buttCar",7
"33580",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_knock",4
"33581",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_lifeSupport",4
"33582",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_kangeroos",4
"33583",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_iAmCringe",4
"33584",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_sexGolf",4
"33585",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_cuteDog",4
"33586",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_faceDraw",3
"33587",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_avocado",4
"33588",2888,"m","GBR","Android",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,169,"cont_buttCar",4
"33589",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_knock",4
"33590",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_lifeSupport",6
"33591",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_kangeroos",5
"33592",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_iAmCringe",6
"33593",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_cuteDog",6
"33594",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_faceDraw",6
"33595",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_avocado",7
"33596",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_romFail",6
"33597",4953,"m","GBR","Android",2,4,3,4,3,5,2,4,3,4,4,4,4,5,3,4,1,3,5,4,5,4,4,2,5,3,4,3,3,4,4,5,4,4,1,3,4,4,4,4,4,4,3,3,3,4,2,4,3,4,4,2,3,2,137,"cont_buttCar",6
"33598",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_knock",3
"33599",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_lifeSupport",7
"33600",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_kangeroos",7
"33601",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_iAmCringe",7
"33602",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_sexGolf",7
"33603",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_cuteDog",3
"33604",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_faceDraw",7
"33605",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_romFail",4
"33606",5078,"m","USA","Android",5,3,2,4,5,4,1,4,5,5,5,5,5,2,5,3,1,4,5,5,2,1,3,5,5,4,5,5,1,5,5,5,5,5,1,1,5,5,5,2,4,5,5,4,3,3,3,3,3,5,2,3,2,3,256,"cont_buttCar",7
"33607",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_knock",1
"33608",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_lifeSupport",1
"33609",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_kangeroos",7
"33610",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_iAmCringe",1
"33611",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_sexGolf",7
"33612",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_cuteDog",1
"33613",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_faceDraw",1
"33614",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_avocado",1
"33615",4414,"m","USA","Android",4,2,1,2,4,5,1,4,2,4,1,2,5,5,4,1,1,1,4,1,4,1,3,2,4,5,1,4,4,4,1,4,5,5,1,5,5,4,4,3,1,4,5,1,1,3,1,4,4,5,5,1,5,2,324,"cont_romFail",7
"33616",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_knock",1
"33617",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_lifeSupport",3
"33618",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_kangeroos",2
"33619",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_iAmCringe",1
"33620",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_sexGolf",3
"33621",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_faceDraw",1
"33622",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_avocado",1
"33623",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_romFail",3
"33624",894,"f","GBR","iOS",5,2,4,5,2,1,5,4,5,4,3,4,2,1,3,3,2,3,5,1,4,1,4,4,4,4,1,4,1,4,4,4,4,3,1,2,4,4,4,4,2,3,3,1,1,4,1,3,1,3,4,1,4,1,142,"cont_buttCar",5
"33625",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_knock",5
"33626",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_lifeSupport",5
"33627",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_kangeroos",5
"33628",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_iAmCringe",5
"33629",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_sexGolf",5
"33630",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_cuteDog",3
"33631",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_faceDraw",3
"33632",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_avocado",5
"33633",5198,"m","GBR","Android",5,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,5,2,4,4,4,2,4,4,4,4,5,4,2,2,5,5,4,2,1,4,4,2,4,4,1,4,2,4,4,3,4,4,236,"cont_romFail",5
"33634",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_knock",5
"33635",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_lifeSupport",7
"33636",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_kangeroos",4
"33637",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_iAmCringe",3
"33638",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_sexGolf",7
"33639",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_faceDraw",7
"33640",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_avocado",7
"33641",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_romFail",6
"33642",5367,"f","GBR","Android",5,5,2,5,5,4,5,4,4,4,4,5,5,4,4,3,4,5,4,3,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,1,5,1,5,5,2,4,2,197,"cont_buttCar",7
"33643",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_knock",5
"33644",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_lifeSupport",6
"33645",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_kangeroos",5
"33646",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_sexGolf",6
"33647",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_cuteDog",4
"33648",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_faceDraw",6
"33649",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_avocado",5
"33650",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_romFail",4
"33651",2797,"m","GBR","Android",4,5,2,3,4,4,2,4,3,4,1,4,4,3,2,5,1,4,4,4,4,4,2,3,4,4,4,4,3,4,4,4,5,4,4,2,4,4,3,3,1,4,3,2,1,4,2,3,3,3,3,1,4,1,262,"cont_buttCar",4
"33652",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_lifeSupport",3
"33653",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_kangeroos",4
"33654",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_iAmCringe",3
"33655",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_sexGolf",5
"33656",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_cuteDog",5
"33657",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_faceDraw",2
"33658",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_avocado",5
"33659",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_romFail",5
"33660",3416,"f","GBR","Android",3,4,3,4,2,4,2,4,5,3,4,4,5,5,4,4,2,4,3,2,4,2,2,4,4,4,1,3,4,4,3,4,5,5,1,1,5,4,4,2,2,3,4,2,3,4,3,3,4,2,4,4,2,4,222,"cont_buttCar",5
"33661",290,"f","USA","Android",4,2,4,2,2,1,4,3,3,4,2,4,4,4,2,2,3,3,4,2,4,2,2,3,4,3,3,4,2,4,3,3,3,2,2,3,3,2,4,3,2,3,2,2,1,1,1,1,1,2,1,1,2,1,200,"cont_knock",2
"33662",290,"f","USA","Android",4,2,4,2,2,1,4,3,3,4,2,4,4,4,2,2,3,3,4,2,4,2,2,3,4,3,3,4,2,4,3,3,3,2,2,3,3,2,4,3,2,3,2,2,1,1,1,1,1,2,1,1,2,1,200,"cont_lifeSupport",4
"33663",290,"f","USA","Android",4,2,4,2,2,1,4,3,3,4,2,4,4,4,2,2,3,3,4,2,4,2,2,3,4,3,3,4,2,4,3,3,3,2,2,3,3,2,4,3,2,3,2,2,1,1,1,1,1,2,1,1,2,1,200,"cont_kangeroos",3
"33664",290,"f","USA","Android",4,2,4,2,2,1,4,3,3,4,2,4,4,4,2,2,3,3,4,2,4,2,2,3,4,3,3,4,2,4,3,3,3,2,2,3,3,2,4,3,2,3,2,2,1,1,1,1,1,2,1,1,2,1,200,"cont_iAmCringe",1
